WORD,★,TYPE,😠,💩,🐸,🤡,👩🏼,🐷,👳🏽,✊🏻,☝🏽,?
chi chi man,2,NOUN,,,,,TRUE,,,,,FALSE
homicide,0,NOUN,TRUE,,,,,,,,,FALSE
tov,2,NOUN,,TRUE,,,,TRUE,,,,FALSE
riff-raff,3,NOUN,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
moloch,2,NOUN,,,TRUE,,,,,,TRUE,FALSE
wic,3,NOUN,,,,,,,TRUE,,TRUE,FALSE
hick,4,NOUN,,,,,,,TRUE,,,FALSE
buckers,2,NOUN,,,,,,,TRUE,,,FALSE
canigger,4,NOUN,,,,,,,TRUE,,,FALSE
urine,1,NOUN,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
🤮,2,:),TRUE,TRUE,,,,,,,,FALSE
primate,1,NOUN,,,TRUE,,,,,,,TRUE
centrist,0,ADJ,,,,,,,,TRUE,,FALSE
crusty,3,ADJ,,,TRUE,,,,,,,FALSE
brat,2,NOUN,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
zundel,2, NOUN,,,,,,,,TRUE,,FALSE
ginks,4,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE
tenker,4,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
bitchzilla,4,NOUN,,,TRUE,,TRUE,,,,,FALSE
square,1,NOUN,TRUE,,,TRUE,,,,,,FALSE
bogans,3,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
backdoorman,2,NOUN,,,,,TRUE,TRUE,,,,FALSE
bog irish,2,NOUN,,,,,,,TRUE,FALSE,FALSE,FALSE
inbred,1,NOUN,,,,TRUE,,,,,,FALSE
beatyourmeat,1,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
zebras,2,NOUN,,,TRUE,,,,TRUE,,,FALSE
dickbrain,3,NOUN,,TRUE,,TRUE,,,,,,FALSE
pepsi,3,NOUN,,,,,,,TRUE,,,TRUE
niggardliness's,4,NOUN,,,,,,,TRUE,,,FALSE
neechee,4,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
spig,3,NOUN,TRUE,,,,,,TRUE,,,FALSE
merkins,3,NOUN,,,,,,,TRUE,,,FALSE
prickhead,3,NOUN,,,TRUE,,,FALSE,,,,FALSE
sheboon,4,NOUN,,,,,TRUE,,TRUE,,,FALSE
smollet,2,NOUN,,,,TRUE,,,,,,FALSE
uglyass,2,NOUN,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
trot,1,NOUN,,,,,,,,TRUE,,FALSE
oriental,0,ADJ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
pedophilium,1,NOUN,,,,,TRUE,TRUE,,,,FALSE
skumbag,3,NOUN,,,TRUE,,,,,,,FALSE
shit heels,3,NOUN,,,,,,,TRUE,,,FALSE
hepatiti,1,NOUN,TRUE,,,,,TRUE,,,,TRUE
yankees,3,NOUN,,,,,,,TRUE,,,FALSE
nwo,1,NOUN,FALSE,,,,,,,TRUE,,FALSE
niggerville,4,NOUN,,,,,,,TRUE,,,FALSE
crows,3,NOUN,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
chinese wetbacks,4,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
tunnel diggers,4,NOUN,,,,,,,TRUE,,,FALSE
gobshite,3,NOUN,TRUE,,FALSE,TRUE,,,,,,FALSE
spunk,2,NOUN,,TRUE,,,,TRUE,,,,FALSE
bast,3,NOUN,TRUE,,,,,,,,,FALSE
joint,0,NOUN,TRUE,,,,,,,,,TRUE
libido,0,NOUN,,,,,,TRUE,,,,FALSE
glass,2,VERB,TRUE,,,,,,,,,FALSE
cumstain,2,NOUN,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
bird,1,NOUN,,,,,TRUE,,,,,FALSE
hannity,2,NOUN,,,,,,,,TRUE,,FALSE
kunt,4,NOUN,,TRUE,,,,TRUE,,,,FALSE
cocktease,2,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
mokies,4,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
nafri,3,NOUN,,,,,,,TRUE,,,FALSE
shines,4,NOUN,,,,,,,TRUE,,,FALSE
crackwhore,4,NOUN,TRUE,,FALSE,,,TRUE,,,,FALSE
dickman,2,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
vietcong,1,NOUN,,,,,,,TRUE,TRUE,,FALSE
pavement ape,4,NOUN,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
